id,line_id,station_1_id,station_2_id
WKA-MVL,BKL,WKA,MVL
UXB-HGD,MET,UXB,HGD
GGN-BTX,NOR,GGN,BTX
KSX-ESQ,MET,ESQ,KSX
WSD-RBG,CTR,WSD,RBG
SKT-NWY,BKL,NWY,SKT
TCR-OXC,CTR,OXC,TCR
PAH-ERC,CIR,PAH,ERC
LNB-BMY,JUB,LNB,BMY
ODS-AGL,NOR,ODS,AGL
RGP-OXC,BKL,OXC,RGP
RSP-ICK,MET,ICK,RSP
WBN-FBY,DST,FBY,WBN
MRH-FPK,PIC,FPK,MRH
HBN-CHL,CTR,HBN,CHL
CPN-CPC,NOR,CPC,CPN
NAN-HGR,CTR,HGR,NAN
NAN-EAN,CTR,NAN,EAN
MMT-CST,CIR,MMT,CST
QWY-LGT,CTR,QWY,LGT
WJN-KSL,BKL,KSL,WJN
MSH-CST,CIR,CST,MSH
RBG-GTH,CTR,RBG,GTH
LNB-BNK,NOR,LNB,BNK
CYD-CAL,MET,CAL,CYD
RYO-PAH,CIR,RYO,PAH
UPY-BKG,DST,BKG,UPY
HAI-FPK,VIC,HAI,FPK
KOY-ECT,DST,KOY,ECT
WYP-NDN,JUB,WYP,NDN
SPU-BNK,CTR,SPU,BNK
TPN-MRH,PIC,MRH,TPN
MYB-ERB,BKL,MYB,ERB
LBN-EAC,BKL,EAC,LBN
TMP-BKF,CIR,BKF,TMP
SKS-KNB,PIC,SKS,KNB
NGW-CYF,JUB,CYF,NGW
ECT-BSC,PIC,BSC,ECT
WTA-EBY,CTR,EBY,WTA
MED-BWR,DST,MED,BWR
CWR-BMY,JUB,BMY,CWR
MGT-BNK,NOR,BNK,MGT
SKW-CPN,NOR,CPN,SKW
FLP-BKE,CTR,BKE,FLP
MVL-KPK,BKL,MVL,KPK
WLO-EMB,BKL,WLO,EMB
KSX-EUS,NOR,KSX,EUS
STD-LYN,CTR,STD,LYN
WOF-RVY,CTR,WOF,RVY
UPB-HCH,DST,HCH,UPB
QPS-KPK,BKL,KPK,QPS
RSP-RSM,MET,RSP,RSM
HSK-ECT,DST,ECT,HSK
KNG-GST,NOR,GST,KNG
KSX-CAR,PIC,KSX,CAR
SWF-SNB,CTR,SNB,SWF
FYR-BST,MET,FYR,BST
OXC-BND,CTR,BND,OXC
RVY-CWL,CTR,RVY,CWL
NEN-ECM,PIC,NEN,ECM
WIP-WIM,DST,WIM,WIP
WYC-NWY,BKL,WYC,NWY
PAC-BWT,CIR,BWT,PAC
WLO-SWK,JUB,WLO,SWK
SUT-SUH,PIC,SUH,SUT
WFN-FYC,NOR,FYC,WFN
MTC-CTN,NOR,MTC,CTN
HBN-CGN,PIC,CGN,HBN
STM-CPK,JUB,STM,CPK
LNB-BOR,NOR,BOR,LNB
HCL-BTX,NOR,BTX,HCL
SKS-GTR,CIR,SKS,GTR
EGW-BTK,NOR,BTK,EGW
MHL-FYC,NOR,FYC,MHL
CAL-AMS,MET,AMS,CAL
